Country Name,Country Code,Indicator Name,Indicator Code,yr_1960,yr_1961,yr_1962,yr_1963,yr_1964,yr_1965,yr_1966,yr_1967,yr_1968,yr_1969,yr_1970,yr_1971,yr_1972,yr_1973,yr_1974,yr_1975,yr_1976,yr_1977,yr_1978,yr_1979,yr_1980,yr_1981,yr_1982,yr_1983,yr_1984,yr_1985,yr_1986,yr_1987,yr_1988,yr_1989,yr_1990,yr_1991,yr_1992,yr_1993,yr_1994,yr_1995,yr_1996,yr_1997,yr_1998,yr_1999,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023
Aruba,ABW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3704283310768,NA,60.6544044833532,NA,59.5995583529185,NA,59.1332882467887,NA,58.4211449809295,NA,57.6771929585988,NA,56.9068102992281,NA,56.1389565275885,NA,55.3487111187575,NA,54.6729401643048,NA,54.3863511297165,NA,NA,NA
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,NA,63.6,NA,64.80761,NA,67.24795,NA,69.68829,NA,72.12863,NA,73.3,NA,73.3,NA,NA,NA
Africa Western and Central,AFW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2977916220303,NA,69.022258999756,NA,66.5767276282419,NA,64.027424027738,NA,61.5008402200387,NA,58.9139334015265,NA,56.3153508557757,NA,53.7145973267546,NA,51.1209965189702,NA,48.698233778138,NA,46.2571803729386,NA,NA,NA
Angola,AGO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,NA,19.7,NA,19.66039,NA,25.79191,NA,31.92344,NA,38.05496,NA,44.18648,NA,50.31801,NA,56.44953,NA,62.58105,NA,62.6,NA,NA,NA
Albania,ALB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1,NA,25.5,NA,23,NA,20.5,NA,17.9,NA,15.4,NA,12.9,NA,10.3,NA,7.8,NA,5.3,NA,2.8,NA,NA,NA
Andorra,AND,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,ARB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1107752976327,NA,34.7668860727617,NA,31.8523767002419,NA,28.6539253680343,NA,25.5001086880115,NA,23.6471195319722,NA,23.9740705699105,NA,NA,NA,NA,NA
United Arab Emirates,ARE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.29188,NA,19.56624,NA,18.84059,NA,18.11494,NA,17.3893,NA,16.66365,NA,15.93801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
