"country","year","gdpPercap","lifeExp"
"Afghanistan",1952,779.4453145,28.801
"Afghanistan",1957,820.8530296,30.332
"Afghanistan",1962,853.10071,31.997
"Afghanistan",1967,836.1971382,34.02
"Afghanistan",1972,739.9811058,36.088
"Afghanistan",1977,786.11336,38.438
"Afghanistan",1982,978.0114388,39.854
"Afghanistan",1987,852.3959448,40.822
"Afghanistan",1992,649.3413952,41.674
"Afghanistan",1997,635.341351,41.763
"Afghanistan",2002,726.7340548,42.129
"Afghanistan",2007,974.5803384,43.828
"Albania",1952,1601.056136,55.23
"Albania",1957,1942.284244,59.28
"Albania",1962,2312.888958,64.82
"Albania",1967,2760.196931,66.22
"Albania",1972,3313.422188,67.69
"Albania",1977,3533.00391,68.93
"Albania",1982,3630.880722,70.42
"Albania",1987,3738.932735,72
"Albania",1992,2497.437901,71.581
"Albania",1997,3193.054604,72.95
"Albania",2002,4604.211737,75.651
"Albania",2007,5937.029526,76.423
"Algeria",1952,2449.008185,43.077
"Algeria",1957,3013.976023,45.685
"Algeria",1962,2550.81688,48.303
"Algeria",1967,3246.991771,51.407
"Algeria",1972,4182.663766,54.518
"Algeria",1977,4910.416756,58.014
"Algeria",1982,5745.160213,61.368
"Algeria",1987,5681.358539,65.799
"Algeria",1992,5023.216647,67.744
"Algeria",1997,4797.295051,69.152
"Algeria",2002,5288.040382,70.994
"Algeria",2007,6223.367465,72.301
"Angola",1952,3520.610273,30.015
"Angola",1957,3827.940465,31.999
"Angola",1962,4269.276742,34
"Angola",1967,5522.776375,35.985
"Angola",1972,5473.288005,37.928
"Angola",1977,3008.647355,39.483
"Angola",1982,2756.953672,39.942
"Angola",1987,2430.208311,39.906
"Angola",1992,2627.845685,40.647
"Angola",1997,2277.140884,40.963
"Angola",2002,2773.287312,41.003
"Angola",2007,4797.231267,42.731
"Argentina",1952,5911.315053,62.485
"Argentina",1957,6856.856212,64.399
"Argentina",1962,7133.166023,65.142
"Argentina",1967,8052.953021,65.634
"Argentina",1972,9443.038526,67.065
"Argentina",1977,10079.02674,68.481
"Argentina",1982,8997.897412,69.942
"Argentina",1987,9139.671389,70.774
"Argentina",1992,9308.41871,71.868
"Argentina",1997,10967.28195,73.275
"Argentina",2002,8797.640716,74.34
"Argentina",2007,12779.37964,75.32
"Australia",1952,10039.59564,69.12
"Australia",1957,10949.64959,70.33
