country,indicator.x,year,rural_pop,indicator.y,slum_pop,gov_exp,total_gdp,indicator.x.x,mort,indicator.y.y,poverty,indicator.x.x.x,income,indicator.y.y.y,electric
ABW,SP.RUR.TOTL.ZS,1960,49.224,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1961,49.239,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1962,49.254,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1963,49.27,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1964,49.285,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1965,49.3,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1966,49.315,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1967,49.33,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1968,49.346,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1969,49.361,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1970,49.376,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1971,49.391,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1972,49.407,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1973,49.422,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1974,49.437,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1975,49.452,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1976,49.468,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1977,49.483,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1978,49.498,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1979,49.513,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1980,49.528,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1981,49.544,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1982,49.559,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1983,49.574,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1984,49.589,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1985,49.605,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1986,49.62,EN.POP.SLUM.UR.ZS,NA,NA,6283.00144344602,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1987,49.635,EN.POP.SLUM.UR.ZS,NA,NA,7567.25364168664,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1988,49.65,EN.POP.SLUM.UR.ZS,NA,NA,9274.51415613905,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1989,49.665,EN.POP.SLUM.UR.ZS,NA,NA,10767.3962204623,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,NA
ABW,SP.RUR.TOTL.ZS,1990,49.681,EN.POP.SLUM.UR.ZS,NA,NA,11638.7337057728,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,1991,49.696,EN.POP.SLUM.UR.ZS,NA,NA,12850.2157123975,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,99.15365601
ABW,SP.RUR.TOTL.ZS,1992,50.002,EN.POP.SLUM.UR.ZS,NA,NA,13657.6706444765,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,99.1971283
ABW,SP.RUR.TOTL.ZS,1993,50.412,EN.POP.SLUM.UR.ZS,NA,NA,14970.1523419526,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,99.23991394
ABW,SP.RUR.TOTL.ZS,1994,50.823,EN.POP.SLUM.UR.ZS,NA,NA,16675.2784883673,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,1995,51.233,EN.POP.SLUM.UR.ZS,NA,NA,17140.4333687405,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,1996,51.644,EN.POP.SLUM.UR.ZS,NA,NA,17375.2253063755,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,1997,52.054,EN.POP.SLUM.UR.ZS,NA,NA,18713.4253880988,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,1998,52.464,EN.POP.SLUM.UR.ZS,NA,22.08238983,19742.3167386832,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,1999,52.873,EN.POP.SLUM.UR.ZS,NA,19.28166008,19833.8267458639,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2000,53.283,EN.POP.SLUM.UR.ZS,NA,21.80771065,21026.1670909022,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,91.660398
ABW,SP.RUR.TOTL.ZS,2001,53.661,EN.POP.SLUM.UR.ZS,NA,21.32317924,20911.1927670907,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2002,54.028,EN.POP.SLUM.UR.ZS,NA,19.75715065,21375.269123446,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2003,54.394,EN.POP.SLUM.UR.ZS,NA,NA,22050.589873287,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2004,54.76,EN.POP.SLUM.UR.ZS,NA,14.90291023,24105.5241207717,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2005,55.125,EN.POP.SLUM.UR.ZS,NA,18.88828087,24978.2216741187,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2006,55.489,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2007,55.853,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2008,56.217,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2009,56.579,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2010,56.941,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,93.35629215
ABW,SP.RUR.TOTL.ZS,2011,57.06,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2012,57.043,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2013,57.01,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2014,56.959,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2015,56.892,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2016,56.808,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2017,56.707,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2018,56.589,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2019,56.454,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
ABW,SP.RUR.TOTL.ZS,2020,56.303,EN.POP.SLUM.UR.ZS,NA,NA,NA,SH.DYN.MORT,NA,SI.POV.NAHC,NA,SI.DST.FRST.20,NA,NA,100
